,text,hope_hate,emotion_label
0,لَمْ أَقُمْ بِإِظْهَارِ الْأَمْرِ خَارِجِيًّا بَعْدًا، وَلَمْ أُخْبِرْهُمْ فِي الْمَطْعَمِ أَنَّنِي لَا أُرِيدُ فِي تَنَاوُلِ الطَّعَامِ هُنَاكَ لِأَنِّي أَعْرِفُ مَا هُوَ مَذَاقُ الطَّعَامِ الْحَقِيقِيُّ فِي الشَّرْقِ الْأَوْسَطِ، وَهُوَ لَيْسَ كَذَلِكَ وَلَكِنِّي أَشْعُرُ بِالانزعاجِ الشَّدِيدِ وَقَدْ أَشْعُرُ بِالاسْتِيَاءِ أَحْيَانًا وَلَكِنِّي أَعْتَقِدُ أَنَّ هَذَا أَمْرٌ طَبِيعِيٌّ. كُلُّ هَذَا جُزْءٌ مِنْ عَمَلِيَةِ الْعَيْشِ فِي عَالَمٍ لَيْسَ جَيِّدًا كَمَا تَعْلَم,not_applicable,Disgust
1,لَقَدْ بَدَأَ الْأُسْبُوعُ وَأَنَا أَشْعُرُ بِالتَّرَنُّحِ وَالتَّوْعُكِ عِنْدَمَا تَلَقَّيْتُ مُذَكِّرَةً مَرَضِيَّةً مِنَ الطَّبِيبِ وَتَسَلَّقْتُ إِلَى مِلَائَةٍ جَدِيدَةٍ مَعَ وَجْبَاتٍ خَفِيفَةٍ وَزُجَاجَةِ مَاءٍ فِي مُتَنَاوَلِ الْيَدِ,not_applicable,Other
2,. بَدَأْتُ أَشْعُرُ بِالرَّغْبَةِ فِي الْمُغَادَرَةِ، شَعَرْتُ بِعَدَمِ الِارْتِيَاحِ مِثْلَ الْمِصْعَدِ فِي سَاعَةِ الذُّرْوَةِ، لَمْ أَشْعُرْ بِالِانْتِمَاءِ الِاجْتِمَاعِيِّ وَأُرِيدُ فَقَطْ الْبَقَاءَ فِي الْمَنْزِلِ وَمُشَاهَدَةَ نِهَائِيَّاتِ التِّينِسِ عَلَى أَرِيكَتِي، أَشْعُرُ بِالْفَخْرِ الشَّدِيدِ.,not_applicable,Other
3,لَنْ أُتَمِّكَنَ أَبَدًا مِنْ التَّوَصُّلِ إِلَى مَبْرَرٍ لِهَذَا الأَمْرِ، وَأُودُّ أَنْ أَقُولَ إِنَّنِي مُجَرَّدًا نَوْعٌ مُتَفَوِّقٌ مِنَ الْبَشَرِ وَلَكِنْ فِي أَعْمَاقِي أَشْعُرُ كَمَا لَوْ أَنَّ النَّاسَ يَكْرَهُونِي وَيَكْرَهُونَنِي وَيَشْعُرُونَ بِالاِشْمِئِزَازِ مِنِّي.,not_applicable,Other
4,يُعْجِبُنِي أَنَّ هُنَاكَ الْعَدِيدُ مِنَ الْأَمَاكِنِ لِتَنَاوُلِ الْمَشْرُوبَاتِ وَلَا أَشْعُرُ حَقًّا بِأَنَّ الْأَمْرَ خَطِيرًا بِشَكْلٍ خَاصٍّ,not_applicable,Disgust
5,،أَشْعُرُ بِالرَّوْعَةِ بِشَأْنِ مَدَى تَقَدُّمِ الْعَمَلِ الْيَوْمِ,hope_speech,Other
6,كُنْتُ مُسْتَلْقِيًا عَلَى سَرِيرِي تِلْكَ اللَّيْلَةِ وَأَنَا أَشْعُرُ بِالْغَضَبِ,not_applicable,Other
7,أَنَا هُنَا لِأَنِّي أَتَفَهَّمُ كَمْ يُمْكِنُ أَنْ تَكُونَ هَذِهِ اللَّحَظَاتُ صَعْبَةً.,hope_speech,Other
8,أَنَا هُنَا لِأَنَّنِي أُؤْمِنُ بِقُدْرَتِكَ عَلَى التَّغَلُّبِ عَلَى هَذَا التَّحَدِّي.,hope_speech,Other
9,أَعْرِفُ أَنَّنِي قَادِرٌ عَلَى تَحْقِيقِ طُمُوحَاتِي وَأَحْلَامِي.,hope_speech,Other
10,", أَنَا لَا أَسْتَسْلِمُ فَقَطْ لِأَنَّنِي أَشْعُرُ بِأَنَّ هَذِهِ الشَّرِكَةَ لَمْ تُقَدِّرْنِي",not_applicable,Joy
11,أَعْتَقِدُ أَنَّنِي أَشْعُرُ بِالْغَضَبِ بَعْدَ كُلِّ هَذَا، وَأَعْلَمُ أَنَّهُ لَا يَنْبَغِي لِي ذَلِكَ لِأَنَّهُ بَعْدَ كُلِّ شَيْءٍ لَمْ يَتَمَكَّنُوا مِنْ الْعَوْدَةِ إِلَى الْمَنْزِلِ وَأَنَا مُمْتَنًا لِأَنَّنِي عَلَى الْأَقَلِ تَمَكَّنْتُ مِنْ الْعَوْدَةِ إِلَى الْمَنْزِلِ وَلَكِنْ بَعْدَ كُلِّ هَذِهِ الْإِثَارَةِ، أَشْعُرُ بِالتَّعَبِ الشَّدِيدِ وَأَشْعُرُ بِالتَّعَذُّيبِ الْآنَ,not_applicable,Disgust
12,", لَقَدْ قُمْتُ بِتَغْيِيرِ بَعْضِ الْأَشْيَاءِ فِي وَقْتٍ سَابِقٍ قَلِيلًا وَأَشْعُرُ بَعْدَمَ الْأَمَانِ بَعْدَ مُحَاوَلَتِي الْأَخِيرَةِ فِي الْمِيلِ وَالتِّي انْتَهَتْ بِأُمْيَالٍ مَا زِلْتُ أَشْعُرُ بِالتَّرَدُّدِ لِأَنَّنِي لَسْتُ أُمَهَا وَلَا أُرِيدُ أَنْ أَكُونَ كَذَلِكَ",not_applicable,Other
