id,image_url,final_text,Hateul vs. Not-Hateul,Hateful Fine grained,Not Hateful Fine grained
data/arabic_memes_fb_insta_pinterest/Instagram/IMAGES/comiicsatk/2022-11-25_19-19-24_UTC.jpg,Image,"واحده لسه متجوزة م 5 تيام وراحت بيت ابوها =هى:
جماعه المطبخ بتاعكوا فين",Not-hateful,,Sarcasm
data/arabic_memes_fb_insta_pinterest/Instagram/IMAGES/comiicsatk/2022-05-31_11-58-54_UTC.jpg,Image,لأمتقولش أن النهاردة أخر يوم فى شهر 5,Not-hateful,,Humor
data/arabic_memes_fb_insta_pinterest/Instagram/IMAGES/comiicsatk/2023-05-20_09-56-55_UTC.jpg,Image,"لما تتصوري صوره حلوة وتوريها لابوكي وتلاقيه بيلقب في باقي الصور .
",Not-hateful,,Humor
data/arabic_memes_fb_insta_pinterest/Instagram/IMAGES/comiicsatk/2020-07-15_18-42-57_UTC.jpg,Image,"-احمد تعالى اسمع الشيخ بيقولك خدمة الزوجة للزوج مش فرض
 =يا شيخة اقعدي دا انتي يا حامل يا والدة يا تعبانة من يوم م اتجوزنا وكلنا بنخدمك",Not-hateful,,Sarcasm
data/arabic_memes_fb_insta_pinterest/Instagram/IMAGES/comiicsatk/2021-12-29_11-40-43_UTC.jpg,Image,"الاطفال بيبقى شكلهم جميل وكيو ت
اختي الصغيرة :
",Not-hateful,,Humor
data/arabic_memes_fb_insta_pinterest/Instagram/IMAGES/comiicsatk/2023-07-31_13-31-18_UTC.jpg,Image,لما ترجع من ايكيا وتبص علي عفش بيتكو,Not-hateful,,Humor
data/arabic_memes_fb_insta_pinterest/Instagram/IMAGES/comiicsatk/2020-06-08_19-24-50_UTC.jpg,Image,"لما افتكر اللي كنت ناويه اعمله يوم فرحي

يارب سامحني انا كنت هرقص بكتفي بس",Not-hateful,,Humor
data/arabic_memes_fb_insta_pinterest/Instagram/IMAGES/comiicsatk/2020-11-03_13-57-01_UTC.jpg,Image,"-لما أشوف خبث البنات .

*انا*
*اهلي *

ربتووني كويس ليييه",Not-hateful,,Humor
data/arabic_memes_fb_insta_pinterest/Instagram/IMAGES/comiicsatk/2021-04-01_19-35-47_UTC.jpg,Image,"امي لمت كل الهدوم اللي في البيت عشان تغسلها ومفاضلش غيرالهدوم اللي انا لابسها عشان تحقق التارجيت بتاع الغساله

اقلع",Not-hateful,,Humor
data/arabic_memes_fb_insta_pinterest/Instagram/IMAGES/comiicsatk/2022-05-19_12-29-04_UTC.jpg,Image,"افشل ٣ مشاريع فى حياتي:
 الدايت
 انام قبل الساعه ١٢
 احوش فلوس",Not-hateful,,Humor
data/arabic_memes_fb_insta_pinterest/Instagram/IMAGES/comiicsatk/2021-12-14_10-43-28_UTC.jpg,Image,"لما اتجوز وولادي يقولي بس احنا يماما مش بنحب الاكل البيتي
 انا :
ولا انا كمان بحبه يلانطلب بيتزا",Not-hateful,,Humor
data/arabic_memes_fb_insta_pinterest/Instagram/IMAGES/comiicsatk/2021-07-28_20-50-21_UTC.jpg,Image,"قدلا تتناول الطعام بسبب كلمه قالها ا حدهم  يمزح

انا بعد ٣٠٠ كلمه قالها احدهم :

يلا بسم الله",Not-hateful,,Sarcasm
data/arabic_memes_fb_insta_pinterest/Instagram/IMAGES/comiicsatk/2022-09-05_15-42-25_UTC.jpg,Image,"البيت كله نايم وصحيوا مخضوضين من صوت الخلاط ومش فاهمين في ايه

 انا في المطبخ :

*الكوبايات*   

هعملكم عظمة ب ٥  جنيه",Not-hateful,,Humor
data/arabic_memes_fb_insta_pinterest/Instagram/IMAGES/comiicsatk/2023-04-20_09-35-33_UTC.jpg,Image,"بنت رجعت متأخرة ٣ دقايق عن ١٠ بالليل
أمها
مالسه بدري يرقاصة",Hateful,Slurs,
data/arabic_memes_fb_insta_pinterest/Instagram/IMAGES/comiicsatk/2022-05-18_10-49-01_UTC.jpg,Image,"-أنا خلاص كده مش عايز أي حاجة تاني م الدنيا 

=ماشاء الله حققت كل أحلامك 

- لا بس زهقت",Not-hateful,,Sarcasm
data/arabic_memes_fb_insta_pinterest/Instagram/IMAGES/comiicsatk/2020-05-31_06-24-11_UTC.jpg,Image,"الكوتيين 2020 :المصريين ليسوا شركائنا فالوطن وهم هنا لخدمتنا
الكويتيين 1990: 
عمي مبار ك الحقني عمي مبارك",Hateful,Mocking,
data/arabic_memes_fb_insta_pinterest/Instagram/IMAGES/comiicsatk/2023-08-16_11-11-10_UTC.jpg,Image,"الراجل صوته اتنبح عمال يقول جامعه جامعه
انا وانا رايح اركب :

جامعه يسطا؟",Not-hateful,,Sarcasm
data/arabic_memes_fb_insta_pinterest/Instagram/IMAGES/comiicsatk/2022-05-20_13-09-11_UTC.jpg,Image,-اللجنه كلها مصدقت ان المراقب خف شدع اللجنه شويه وبدأنا نحل مشرف الدور من الشباك :,Not-hateful,,Humor
data/arabic_memes_fb_insta_pinterest/Instagram/IMAGES/comiicsatk/2022-02-24_12-42-29_UTC.jpg,Image,"لم تقرر انك هتلتزم الترم التاني وتحضر محاضرات والدكاترة هما اللى يغيبوا
 انت..

أنا راجل مهزء اساسا انى حضرت",Not-hateful,,Humor
data/arabic_memes_fb_insta_pinterest/Instagram/IMAGES/comiicsatk/2022-07-04_14-04-58_UTC.jpg,Image,_الصحاب لما يجو يتصورو بيتصورو صور حلو ٥ *انا وصحابى لما نيج نتصور *,Not-hateful,,Humor
data/arabic_memes_fb_insta_pinterest/Instagram/IMAGES/comiicsatk/2020-10-16_14-36-17_UTC.jpg,Image,"انا واخواتي واحنا داخلين المطبخ نعمل اكل بعدما بابا و ماما يناموا ..
",Not-hateful,,Humor
data/arabic_memes_fb_insta_pinterest/Instagram/IMAGES/comiicsatk/2023-03-20_19-42-23_UTC.jpg,Image,"لما اعدى من قدام محل مشغل اغانى رمضان

=

يا حلاوة التين و القمرالدين 
الله ..الله ",Not-hateful,,Humor
data/arabic_memes_fb_insta_pinterest/Instagram/IMAGES/comiicsatk/2022-10-04_17-58-05_UTC.jpg,Image,فاكره لما قولتيلي انا داخله اصالحكم وارجعكم لبعض,Not-hateful,,Sarcasm
data/arabic_memes_fb_insta_pinterest/Instagram/IMAGES/comiicsatk/2022-02-16_13-10-04_UTC.jpg,Image,"حد قالي حاجه ومسمعتهوش ولسه هقوله كنت بتقول ايه

 عقلي: 

يعم اضحكله وخلاص انت لسه هتساله بتقول ايه",Not-hateful,,Humor
data/arabic_memes_fb_insta_pinterest/Instagram/IMAGES/comiicsatk/2023-02-15_14-24-55_UTC.jpg,Image,"لما احط علي وشي الكريم بتاع اختي الي قالتلي اكتد من 100 مرة مجيش جنبو وتسالني وشك منور
منغ الل سلبمان
على فكره آنا بحب",Not-hateful,,Sarcasm
data/arabic_memes_fb_insta_pinterest/Instagram/IMAGES/comiicsatk/2022-07-31_18-34-16_UTC.jpg,Image,"بيت فيه حد ثانويه عامه :
Abdelrhmon Alod
قرايبهم يوم الخميس الجاي",Not-hateful,,Humor
data/arabic_memes_fb_insta_pinterest/Instagram/IMAGES/comiicsatk/2020-08-12_13-35-00_UTC.jpg,Image,"- ياسطي إنت عارف الطريق 
 = ياعم عيب عليك",Not-hateful,,Sarcasm
data/arabic_memes_fb_insta_pinterest/Instagram/IMAGES/comiicsatk/2022-03-29_11-44-58_UTC.jpg,Image,"الشوارع كلها علقت زينه رمضان
شارعنا :",Hateful,Other,
data/arabic_memes_fb_insta_pinterest/Instagram/IMAGES/comiicsatk/2023-08-03_16-29-07_UTC.jpg,Image,لما تبقى أجازة تعدى على ذما يلك 9 الشفل,Not-hateful,,Humor
data/arabic_memes_fb_insta_pinterest/Instagram/IMAGES/comiicsatk/2022-08-10_15-19-09_UTC.jpg,Image,إنتى معاكى فلو لس لأ خالص طيب إيه بكام بكام اللى عمالة تكتبيها فى كل مكان دى ؟!,Not-hateful,,Humor
data/arabic_memes_fb_insta_pinterest/Instagram/IMAGES/de7ktna/2020-11-04_16-07-40_UTC_4.jpg,Image,ام بسبس تناشد اهل الخير يساعدونها في علاج ولدها بسبس,Not-hateful,,Humor
data/arabic_memes_fb_insta_pinterest/Instagram/IMAGES/de7ktna/2022-03-01_11-40-03_UTC.jpg,Image,"لما احط موبايلي على الشاحن والاقي الشحن قل
الوادى
٧3305AI8%0
الوادى
هومين بيشحه مين",Not-hateful,,Humor
data/arabic_memes_fb_insta_pinterest/Instagram/IMAGES/de7ktna/2020-06-16_08-55-09_UTC.jpg,Image,الي لابس اسود شغال مهندس,Not-hateful,,Humor
data/arabic_memes_fb_insta_pinterest/Instagram/IMAGES/de7ktna/2022-04-17_20-46-53_UTC.jpg,Image,"بابا أنا عايز فلوس عشان أخطب


فلوس عشان تخطب ؟

ا٥ عادي



أنا متجوز زمك قسط!",Not-hateful,,Humor
data/arabic_memes_fb_insta_pinterest/Instagram/IMAGES/de7ktna/2020-06-24_19-57-10_UTC.jpg,Image,عندما تكونين *اقصر واحدة في الشلة *,Not-hateful,,Humor
data/arabic_memes_fb_insta_pinterest/Instagram/IMAGES/de7ktna/2021-02-23_07-09-11_UTC.jpg,Image,مبتردش عليا ليه وانت بتحارب,Not-hateful,,Sarcasm
data/arabic_memes_fb_insta_pinterest/Instagram/IMAGES/de7ktna/2021-04-13_19-54-18_UTC.jpg,Image,"مهوأنا عايزأقولك إن الواحد ممكن يطفى المنبه 

بس مبيبقاش عارف إنه بيطفى المنبه
",Not-hateful,,Humor
data/arabic_memes_fb_insta_pinterest/Instagram/IMAGES/de7ktna/2021-10-04_13-09-17_UTC.jpg,Image,"الفر ق بين الصورتين 20 سنه تقريبا
الصحاب بيفضلوا صحاب ..",Not-hateful,,Humor
data/arabic_memes_fb_insta_pinterest/Instagram/IMAGES/de7ktna/2020-12-02_17-04-11_UTC.jpg,Image,"لما اقعد مع نفسي اشو ف عيوبي عشان اصلحها

ما فيا عيو ب وكمان قمر خدي بوسة",Not-hateful,,Humor
data/arabic_memes_fb_insta_pinterest/Instagram/IMAGES/de7ktna/2020-06-22_20-12-19_UTC.jpg,Image,"لما اجمع البيت كله علي فيلم والاقي البطل بيقرب من البطله

ايه يا اسطا هتكبرلها في ودانها ولا ايه؟!",Not-hateful,,Sarcasm
data/arabic_memes_fb_insta_pinterest/Instagram/IMAGES/de7ktna/2021-10-06_21-08-13_UTC.jpg,Image,"انا من بكره هنزل الجيم وهخس 9اناهن بكره هعمل دليت 9هبطل أكل
L4t٤٢.٠٠
نبدأ باليوم المفتوح",Not-hateful,,Sarcasm
data/arabic_memes_fb_insta_pinterest/Instagram/IMAGES/de7ktna/2020-07-21_08-49-21_UTC.jpg,Image,"قد يسرق الفقر مالها لكن لا حيلة له بجمالها
",Not-hateful,,Humor
data/arabic_memes_fb_insta_pinterest/Instagram/IMAGES/de7ktna/2020-11-01_14-28-06_UTC.jpg,Image,*لما اكون مضايقة وحد يعديي من قدامي *  تعالي اما اعملك ساعه,Not-hateful,,Humor
data/arabic_memes_fb_insta_pinterest/Instagram/IMAGES/de7ktna/2020-05-11_14-04-18_UTC.jpg,Image,لما بعد ساعة إلا ربع في المحاضرة تزهق فتبص المو بايل تلاقي عدى دقايق بس,Not-hateful,,Humor
data/arabic_memes_fb_insta_pinterest/Instagram/IMAGES/de7ktna/2021-01-13_16-52-10_UTC.jpg,Image,"تدي أقضي العيد دد في باريس ولا لندن
٦٦",Not-hateful,,Sarcasm
data/arabic_memes_fb_insta_pinterest/Instagram/IMAGES/de7ktna/2021-01-29_15-17-11_UTC.jpg,Image,"كفاية سهر كدا اخش انام  
يوتيوب* 
شاهد كيف تصنع الايفون من عصير الجوافة",Not-hateful,,Humor
data/arabic_memes_fb_insta_pinterest/Instagram/IMAGES/de7ktna/2021-04-11_20-45-31_UTC.jpg,Image,"ممكن يا دكتور كفايه كويزات
SERENSnOT
لو مافيهاش اذعاج يعني",Not-hateful,,Humor
data/arabic_memes_fb_insta_pinterest/Instagram/IMAGES/de7ktna/2019-07-25_20-33-23_UTC.jpg,Image,"شايف خلق جديده في المسجد 
واضح ان الامتحانات جايه شديدة",Not-hateful,,Humor
data/arabic_memes_fb_insta_pinterest/Instagram/IMAGES/de7ktna/2020-06-29_08-02-10_UTC.jpg,Image,ماما=0 1 دقايق الاقيكى في البيت,Not-hateful,,Humor
data/arabic_memes_fb_insta_pinterest/Instagram/IMAGES/de7ktna/2021-01-12_17-34-15_UTC.jpg,Image,"كان قدامك اسبوع كامل قبل الامتحان...مذاكرتش ليه؟
معدش بيذاكر اوي الا لمايتزنق اوي",Not-hateful,,Humor
data/arabic_memes_fb_insta_pinterest/Instagram/IMAGES/de7ktna/2019-06-27_12-57-17_UTC.jpg,Image,"بيومي فؤاد
لو كان يرضيك تفضل كدا قدامي.. خلاص خليك",Not-hateful,,Sarcasm
data/arabic_memes_fb_insta_pinterest/Instagram/IMAGES/de7ktna/2020-06-24_23-57-16_UTC.jpg,Image,"انتي فاكره انك لما تبصيلي كدة هركتب هربكت هرتكك هكربت هرتبك يعني! 
",Not-hateful,,Sarcasm
data/arabic_memes_fb_insta_pinterest/Instagram/IMAGES/de7ktna/2020-09-16_11-11-08_UTC.jpg,Image,"ماما انا جعان
في جبنة وجبنة... وعندك جبنة",Not-hateful,,Humor
data/arabic_memes_fb_insta_pinterest/Instagram/IMAGES/de7ktna/2020-05-30_09-42-08_UTC.jpg,Image,"لما أبقى خلاص بنام وأسمع صوت أطباق في الصالة
بتاكلوا إيه",Not-hateful,,Humor
data/arabic_memes_fb_insta_pinterest/Instagram/IMAGES/de7ktna/2021-11-01_16-26-54_UTC.jpg,Image,عندما يعم الهدوء في المنزل فأعلم آن هاتفك في آيادي آمينة,Not-hateful,,Sarcasm
data/arabic_memes_fb_insta_pinterest/Instagram/IMAGES/de7ktna/2020-03-26_17-13-19_UTC_2.jpg,Image,"أمي الساعة 6 الصبح
هاتو الملاية دي علشان اغسلها",Not-hateful,,Humor
data/arabic_memes_fb_insta_pinterest/Instagram/IMAGES/de7ktna/2021-02-16_16-24-16_UTC.jpg,Image,ابعدي عن الراجل يا خطافة الرجالااااو,Not-hateful,,Humor
data/arabic_memes_fb_insta_pinterest/Instagram/IMAGES/de7ktna/2019-03-19_21-22-43_UTC.jpg,Image,"اكثد مخلوقين كسلآ فر العالم ينظران الى بعضهما
Mactتyun 8",Not-hateful,,Sarcasm
data/arabic_memes_fb_insta_pinterest/Instagram/IMAGES/de7ktna/2020-11-03_20-49-06_UTC.jpg,Image,"لما نلعب ببجي ويقولي ماتتحركيش لوحدك
خطيبي",Not-hateful,,Humor
data/arabic_memes_fb_insta_pinterest/Instagram/IMAGES/de7ktna/2020-10-21_19-27-26_UTC_9.jpg,Image,يوسف الشريف وهو ماسك فيروس كورونا وهاتك يا ضرب شابوه يوسف الشريف,Not-hateful,,Sarcasm
data/arabic_memes_fb_insta_pinterest/Instagram/IMAGES/de7ktna/2021-05-22_16-14-16_UTC.jpg,Image,"الحقيثى يا ماما صاحى بطنى هتموتنى وحاسس بسكاكين فيها
منا قولتلك سيب الموبيل من ايدك قبل ما تنام ",Not-hateful,,Humor
data/arabic_memes_fb_insta_pinterest/Instagram/IMAGES/de7ktna/2021-09-26_09-21-18_UTC.jpg,Image,لما تسرح بخيالك وانت بتاكل,Not-hateful,,Humor
data/arabic_memes_fb_insta_pinterest/Instagram/IMAGES/de7ktna/2020-11-06_22-24-03_UTC.jpg,Image,"تخرجى معا متبينيش انك معجبه بيه اوي
",Not-hateful,,Humor
data/arabic_memes_fb_insta_pinterest/Instagram/IMAGES/de7ktna/2021-04-03_13-48-20_UTC.jpg,Image,"-لما تكوني اونلاين وانتوا متخانقين ويسألك بتكلمي مين
بكلم عرساني ومعجبيني",Not-hateful,,Humor
data/arabic_memes_fb_insta_pinterest/Instagram/IMAGES/de7ktna/2021-10-08_14-50-21_UTC.jpg,Image,"مني الشاذلي وهي مستنية احمد خالد صالح وهنادي لما يرجعو من شهر العسل
",Not-hateful,,Humor
data/arabic_memes_fb_insta_pinterest/Instagram/IMAGES/de7ktna/2021-02-26_16-17-14_UTC.jpg,Image,"الاتنين انا
انا عاوزه اتخطب زيهم يبشا
*فيه عريس متقدملك *
خدوا منه الجاتوه وقولوله مش موافقه ",Not-hateful,,Humor
data/arabic_memes_fb_insta_pinterest/Instagram/IMAGES/de7ktna/2020-06-12_17-58-39_UTC.jpg,Image,الحكومة: 150 الف جنيه لمن تعضه الكلاب الضاله,Not-hateful,,Humor
data/arabic_memes_fb_insta_pinterest/Instagram/IMAGES/de7ktna/2020-04-15_19-21-59_UTC.jpg,Image,أمك لما تشوفك داخل المطبخ تتعشي رابع مره,Not-hateful,,Humor
data/arabic_memes_fb_insta_pinterest/Instagram/IMAGES/de7ktna/2021-08-29_10-46-14_UTC.jpg,Image,نفس الشيء لكنكم تحبون عمرو دياب,Not-hateful,,Humor
data/arabic_memes_fb_insta_pinterest/Instagram/IMAGES/de7ktna/2020-10-28_19-25-08_UTC.jpg,Image,"وتعبان ومش قادر اتحرك والجو حر
امي :
ما تقوم تفكلي الستاير اغسلها",Not-hateful,,Humor
data/arabic_memes_fb_insta_pinterest/Instagram/IMAGES/de7ktna/2020-04-06_11-50-08_UTC.jpg,Image,يعني الحواوشي أبو ٣ جنية دد بلدي يا عم جابر؟ بلدي و الله يا أستاذ أحمد أمال أبو ٥ اللي هناك ده إيه ؟! دد بو ليسي,Not-hateful,,Sarcasm
data/arabic_memes_fb_insta_pinterest/Instagram/IMAGES/de7ktna/2021-06-02_15-32-18_UTC.jpg,Image,"الله يرحمك يا جدي.. كنت حرامي وكمان كداب
الصين حلوة",Hateful,Slurs,
data/arabic_memes_fb_insta_pinterest/Instagram/IMAGES/de7ktna/2022-03-23_09-56-59_UTC.jpg,Image,"ياشمس يا شموسه خودى سنه الجاموس وهات سنه العروسه
ايه اللي انا بقوله ده انا الجموسه كده",Not-hateful,,Humor
data/arabic_memes_fb_insta_pinterest/Instagram/IMAGES/de7ktna/2020-02-20_00-52-30_UTC.jpg,Image,"قاعد في البيت مخنوق و مش طايق نفسك
ابن اختك
خالو شخخني",Not-hateful,,Humor
data/arabic_memes_fb_insta_pinterest/Instagram/IMAGES/de7ktna/2020-11-07_20-37-25_UTC.jpg,Image,لما حد يزعل مني الفتره دي,Not-hateful,,Humor
data/arabic_memes_fb_insta_pinterest/Instagram/IMAGES/de7ktna/2020-10-08_12-18-15_UTC.jpg,Image,"ظاهر الحب تتجلى في هذه الصورة كان بإمكانه أن طلب من ذوجته أن تحمله أيضا لكنه رفض
51115!7",Not-hateful,,Sarcasm
data/arabic_memes_fb_insta_pinterest/Instagram/IMAGES/de7ktna/2021-10-09_14-30-18_UTC.jpg,Image,,Not-hateful,,Sarcasm
data/arabic_memes_fb_insta_pinterest/Instagram/IMAGES/de7ktna/2021-08-23_15-12-16_UTC.jpg,Image,"انا مهر بنتي 100 الف جنيه 

 كام كومنت وناخذها ببلاش؟",Not-hateful,,Sarcasm
data/arabic_memes_fb_insta_pinterest/Instagram/IMAGES/de7ktna/2021-06-11_10-43-58_UTC.jpg,Image,"حطوا دبا ديب علي الكراسي في باريس عشان يضمنوا الاماكن ماتتمليش يبقي فيه تباعد بين الناس
لو حصل كده عندنا هناخد الدباديب ونطلع نجري",Hateful,Mocking,
data/arabic_memes_fb_insta_pinterest/Instagram/IMAGES/de7ktna/2020-03-28_16-38-43_UTC.jpg,Image,"م٧ ينادوا عليا في البيت اعملهم طبق السلطه بتاعي
Snapcha",Not-hateful,,Humor
data/arabic_memes_fb_insta_pinterest/Instagram/IMAGES/de7ktna/2020-07-20_17-46-55_UTC.jpg,Image,"شباب المعادي يوزعون ""دونتس وكنافة بالنوتيلا""  على الصا ئمين
عندنا يبشا بيحدفوا البلح في وشك بالنبلة فتسب الدين فتفطر",Hateful,Mocking,
data/arabic_memes_fb_insta_pinterest/Instagram/IMAGES/de7ktna/2019-07-23_14-29-10_UTC.jpg,Image,بحبك يا ندي منشن ل ندي عريسها /هو,Not-hateful,,Humor
data/arabic_memes_fb_insta_pinterest/Instagram/IMAGES/de7ktna/2021-05-05_07-54-21_UTC.jpg,Image,"قعلا يا يهي دوق العصيد يووه كل شوية كده
SCREENSHOT
كل شتويه تخلوني ادوق الاكل والعصير كده. طعم حلو اوي",Not-hateful,,Humor
data/arabic_memes_fb_insta_pinterest/Instagram/IMAGES/de7ktna/2021-02-07_16-51-14_UTC.jpg,Image,"تقريبا عشان يحافظوا على اسرع دليفري في مصر نسيو البرجر
البرجر ياااا ",Hateful,Mocking,
data/arabic_memes_fb_insta_pinterest/Instagram/IMAGES/de7ktna/2019-09-11_15-23-23_UTC.jpg,Image,"لقد لمحت الخازوق ف شخصيتك منذ البداية ولكني غامرت بالصرمحة معك😂😂💔
",Not-hateful,,Humor
data/arabic_memes_fb_insta_pinterest/Instagram/IMAGES/de7ktna/2020-08-02_08-47-17_UTC.jpg,Image,"- لما ابقي نازل الكليه الساعه 8 الصبح..
*واحد بيتنفس عادي معمليش حاجه*",Not-hateful,,Humor
data/arabic_memes_fb_insta_pinterest/Instagram/IMAGES/de7ktna/2021-11-05_13-16-58_UTC.jpg,Image,"انا وقع مني ٥٠ جنيه مشوفتهاش ياسطى ؟

متعرفش وقعت منك فين ؟؟

الواد ده غبي ولا ايه !!",Not-hateful,,Humor
data/arabic_memes_fb_insta_pinterest/Instagram/IMAGES/de7ktna/2021-10-11_16-04-17_UTC.jpg,Image,"
ان الزواج يااخواني مشروع فاااااااشل 

Got Engaged Today

هيبقي شبهي وشبهك هيبقى عمري وعمرك",Not-hateful,,Sarcasm
data/arabic_memes_fb_insta_pinterest/Instagram/IMAGES/de7ktna/2021-02-20_15-51-08_UTC.jpg,Image,د متنرفز م ومش طايق م كلمه انا ت,Not-hateful,,Humor
data/arabic_memes_fb_insta_pinterest/Instagram/IMAGES/de7ktna/2019-01-02_09-05-48_UTC.jpg,Image,"لماتدخل الامتحان ومش عارف تحل و تلاقي رئيس اللجنه المعيدين كلهم قاعدين ف وشك
نحلننا",Not-hateful,,Humor
data/arabic_memes_fb_insta_pinterest/Instagram/IMAGES/de7ktna/2020-08-05_14-56-14_UTC.jpg,Image,"- مالك ؟ 
= مانا فل أهو.
 -حساد متدايقة.. احكي .",Not-hateful,,Sarcasm
data/arabic_memes_fb_insta_pinterest/Instagram/IMAGES/de7ktna/2021-08-22_17-47-20_UTC.jpg,Image,"انا ايموشن ضحك

او بقفل كلام في الشات مش مح",Not-hateful,,Humor
data/arabic_memes_fb_insta_pinterest/Instagram/IMAGES/de7ktna/2020-11-04_16-07-40_UTC_10.jpg,Image,رئيس الولايات التونيه دونلاند مياو,Hateful,Mocking,
data/arabic_memes_fb_insta_pinterest/Instagram/IMAGES/de7ktna/2021-07-03_17-51-16_UTC.jpg,Image,"
*صاحبك*
إنت اللي قولتلى لازم نجتهد عشان ننجح ونطلع من الاوائل

*إنت*
تقوم تكلم المدرسين عشان نبدأ دروس يا غبي",Not-hateful,,Humor
data/arabic_memes_fb_insta_pinterest/Instagram/IMAGES/de7ktna/2022-02-08_19-39-47_UTC.jpg,Image,"كان نفسي اعرف اتعامل مع الناس عادي و اتكلم مع اي حد بطبيعتي
ويقولو الاجتماعي راح الاجتماعي جيه",Not-hateful,,Humor
data/arabic_memes_fb_insta_pinterest/Instagram/IMAGES/de7ktna/2020-07-24_16-40-10_UTC.jpg,Image,"عندي حوالي عشر غلطات في الورقة
 وانا كمان عندي غلطة في الورقة التانية
ورقة تانية؟",Not-hateful,,Humor
data/arabic_memes_fb_insta_pinterest/Instagram/IMAGES/de7ktna/2021-04-03_12-02-16_UTC.jpg,Image,"*بعد الساعه ١٢*

 انا عايزه ارتبط يا جيمي! .... جيمي انا عايز ارتبط؟",Not-hateful,,Humor
data/arabic_memes_fb_insta_pinterest/Instagram/IMAGES/8yerjaw/2022-08-09_09-50-14_UTC.jpg,Image,"ولاد اختي اذا رحت بدي نام  بالغرفة
",Not-hateful,,Humor
data/arabic_memes_fb_insta_pinterest/Instagram/IMAGES/8yerjaw/2022-06-20_17-26-25_UTC.jpg,Image,"سبب خسارة أعز أصحابك هو مين بدو يقعد قدام بالسيارة
٥&yerja",Not-hateful,,Sarcasm
data/arabic_memes_fb_insta_pinterest/Instagram/IMAGES/8yerjaw/2022-11-27_18-45-28_UTC.jpg,Image,"ناطر اللحظة المناسبة 

وين سالم!!",Not-hateful,,Humor
data/arabic_memes_fb_insta_pinterest/Instagram/IMAGES/8yerjaw/2023-08-02_17-17-29_UTC.jpg,Image,"لما تكون خاطب جديد وعمك يحكي نكتة
",Not-hateful,,Humor
data/arabic_memes_fb_insta_pinterest/Instagram/IMAGES/8yerjaw/2022-08-20_18-07-41_UTC.jpg,Image,"قاعد يبكي على قبر واحد تاني

",Not-hateful,,Humor
data/arabic_memes_fb_insta_pinterest/Instagram/IMAGES/8yerjaw/2022-09-11_15-53-21_UTC.jpg,Image,"حكمة اليوم
لا تعطي فرص، جرب تعطي بلوك ",Not-hateful,,Humor
data/arabic_memes_fb_insta_pinterest/Instagram/IMAGES/8yerjaw/2022-04-30_10-25-40_UTC.jpg,Image,"كيف تتخيل شكلك بعد الحلاقة عالعيد
",Not-hateful,,Humor
data/arabic_memes_fb_insta_pinterest/Instagram/IMAGES/8yerjaw/2022-05-19_12-03-08_UTC.jpg,Image,اذا فتحت شركة انا وصاحبي 😂,Not-hateful,,Humor
data/arabic_memes_fb_insta_pinterest/Instagram/IMAGES/8yerjaw/2022-07-03_08-42-07_UTC.jpg,Image,"لما اتصل بصاحبي كرمال ببعتلي الصور يلي صورني ياهم بالعرس :
",Not-hateful,,Humor
data/arabic_memes_fb_insta_pinterest/Instagram/IMAGES/8yerjaw/2022-03-08_16-08-01_UTC.jpg,Image,"
حكمة اليوم:
 حتى لو كنت أسد ما تمزح مع حمار
",Not-hateful,,Humor
data/arabic_memes_fb_insta_pinterest/Instagram/IMAGES/8yerjaw/2022-09-29_18-56-27_UTC.jpg,Image,"استمروا الله يعطيكم العافية😂😂😂😂
اذا دخلت محل حلويات و أكلت 6 انواع ببلاش والموظف ناطر لحتى اشتري:",Not-hateful,,Humor
data/arabic_memes_fb_insta_pinterest/Instagram/IMAGES/8yerjaw/2022-07-07_19-01-53_UTC.jpg,Image,"لما يكون الكل مفكرك رح ترسب و تقوم تنجح بمعدل منيح
",Not-hateful,,Humor
data/arabic_memes_fb_insta_pinterest/Instagram/IMAGES/8yerjaw/2022-07-30_13-40-58_UTC.jpg,Image, لما يضل يرفضلك طلباتك ويجب يلمسك,Not-hateful,,Humor
data/arabic_memes_fb_insta_pinterest/Instagram/IMAGES/8yerjaw/2022-03-20_12-42-08_UTC.jpg,Image,"لما يجي لعنا ضيوف وانا قاعد بالغرفة:
راحو ولا لس 
طيب هم وين قاعدين
بدي اشرب مي
متى بدهم يروحو",Not-hateful,,Humor
